user_id,Day,AI,Human,AI_std,Human_std
1065632,day1,64.8,51.6,1.0653416196374341,0.617130077080543
1065632,day2,57.6,20.8,-0.9183979479633075,-1.1537649267157977
1065632,day3,60.4,50.2,-0.14694367167413053,0.5366348496352549
115345,day1,50.8,37.8,-0.2802511778166083,-0.263157894736844
115345,day2,47.4,35.6,-0.8299746419953394,-0.8421052631578956
115345,day3,59.4,43.0,1.110225819811948,1.1052631578947358
1452004,day1,69.2,47.8,0.8685788647124465,0.7694556169736667
1452004,day2,43.0,29.2,-1.093211329724286,-1.130350729359546
1452004,day3,60.6,43.8,0.2246324650118396,0.360895112385879
1472598,day1,68.8,45.4,1.0765917667210008,1.1157667960994748
1472598,day2,63.6,42.4,-0.17675387214822244,-0.8153680433034614
1472598,day3,60.6,43.2,-0.8998378945727749,-0.3003987527960089
1743130,day1,55.6,19.4,1.0306506022413275,-0.7653920744856801
1743130,day2,52.2,30.8,-0.06441566264008398,1.131449153587527
1743130,day3,49.4,21.8,-0.9662349396012483,-0.3660570791018468
1778742,day1,53.2,41.2,0.8006407690254346,0.8867963503478661
1778742,day2,49.2,37.2,-1.1208970766356112,-1.0838622059807206
1778742,day3,52.2,39.8,0.32025630761017315,0.19706585563285797
2106307,day1,50.6,36.6,-0.752398669454597,-0.27918301146832164
2106307,day2,60.8,31.2,1.1347652063905407,-0.8307396926618351
2106307,day3,52.6,50.2,-0.38236653693594236,1.1099227041301565
2600289,day1,43.0,29.2,-1.080368389950896,1.094305806210129
2600289,day2,58.8,20.6,0.18719254281327433,-0.8663254299163499
2600289,day3,67.6,23.4,0.8931758471376222,-0.22798037629377585
2810580,day1,53.2,32.0,-0.8320502943378444,-1.1523319193960668
2810580,day2,68.6,34.8,1.1094003924504576,0.6401843996644755
2810580,day3,57.6,34.6,-0.2773500981126151,0.5121475197315822
2977582,day1,38.6,23.4,-1.047380295269393,0.912057922397535
2977582,day2,49.8,21.8,0.10268434267346913,0.1572513659306092
2977582,day3,58.0,19.2,0.9446959525959222,-1.0693092883281476
4006340,day1,36.833333333333336,23.0,-1.1543560219868634,-0.2916018232641744
4006340,day2,58.4,33.6,0.601604039671837,1.1133887797359392
4006340,day3,57.8,19.0,0.552751982315026,-0.8217869564717644
4008717,day1,58.0,40.0,-1.150332790873248,-1.1263148458111014
4008717,day2,71.2,63.4,0.4882707529605878,0.7835233709990264
4008717,day3,72.6,58.0,0.6620620379126602,0.3427914748120739
4011894,day1,39.2,20.0,-1.1264395987449425,-1.1475069946929368
4011894,day2,72.2,34.8,0.7831069813192584,0.6852020184137678
4011894,day3,64.6,33.0,0.3433326174256844,0.46230497627916894
4150657,day1,41.0,19.0,-0.8829107659744929,-1.0776318121606492
4150657,day2,50.6,20.4,-0.2030222616946691,0.17960530202677433
4150657,day3,68.8,21.2,1.085933027669163,0.8980265101338748
4173223,day1,46.6,26.8,-0.9558473801618903,-0.2061574110172035
4173223,day2,59.2,24.4,-0.08311716349233846,-0.8808543925280543
4173223,day3,75.4,31.4,1.0389645436542283,1.087011803545259
4213579,day1,39.8,29.4,-1.1538069224540584,-0.4588314677411258
4213579,day2,48.4,28.8,0.5375691343251864,-0.6882472016116866
4213579,day3,48.8,33.6,0.6162377881288719,1.147078669352807
4409144,day1,67.0,46.4,-0.6322368028097569,0.17802586814790572
4409144,day2,70.2,37.0,1.1529024051236878,-1.0770565022948273
4409144,day3,67.2,51.8,-0.5206656023139151,0.8990306341469224
4551146,day1,40.2,29.6,-1.1544914355727731,-1.0349097793364017
4551146,day2,49.4,36.6,0.5962757963947272,0.07392212709545758
4551146,day3,49.2,42.2,0.5582156391780432,0.9609876522409452
4758400,day1,39.0,28.0,-0.7054539489031877,-0.2569571153021643
4758400,day2,62.6,34.0,1.1444030726651713,1.103404083356349
4758400,day3,42.4,25.4,-0.4389491237619836,-0.8464469680541871
4923339,day1,59.8,34.8,-0.824251989324288,-0.8955849586774773
