user_id,Day,AI,Human,AI_std,Human_std
106610,day1,50.4,21.8,-1.0727872069421414,-0.49708252185997487
106610,day2,63.8,19.8,0.16646698038757338,-0.6540559498157563
106610,day3,71.8,42.8,0.9063202265545673,1.1511384716757305
113407,day1,69.2,82.6,-0.5131125718856981,0.9641231129949082
113407,day2,82.4,75.6,1.1524003663662419,0.06825650357486053
113407,day3,68.2,67.0,-0.639287794480542,-1.0323796165697687
148287,day1,62.6,26.8,-0.7835233709990237,1.1535634622409483
148287,day2,63.2,19.2,-0.3427914748120703,-0.5324139056496678
148287,day3,65.2,18.8,1.1263148458111043,-0.6211495565912789
367640,day1,112.4,180.0,1.154464597189805,1.1537064388082028
367640,day2,87.0,120.2,-0.5570179379437189,-0.6183392386078208
367640,day3,86.4,123.0,-0.5974466592460853,-0.5353672002003816
1103016,day1,47.6,12.8,-1.131292290661503,-1.0084365131198298
1103016,day2,73.0,16.8,0.3653131355261106,0.017092144290166547
1103016,day3,79.8,20.6,0.7659791551353929,0.9913443688296633
1127132,day1,48.2,35.4,-0.9966160492538912,0.6091120354556253
1127132,day2,58.0,35.0,-0.006733892224688076,0.5449949790918753
1127132,day3,68.0,24.4,1.0033499414785807,-1.1541070145475034
1220629,day1,55.0,26.6,-1.0488022278007685,-0.9830968793153306
1220629,day2,88.8,36.2,0.9427435755512528,-0.03298982816494352
1220629,day3,74.6,46.8,0.10605865224951577,1.0160867074802749
1264394,day1,76.2,45.4,1.0744498391121098,1.1510059600903713
1264394,day2,72.8,22.8,-0.17093520167692702,-0.6554339494959058
1264394,day3,70.8,24.8,-0.9035146374351827,-0.4955720105944654
1335657,day1,67.0,18.6,-0.8444407432001207,-1.115766796099474
1335657,day2,75.0,27.6,1.1042686641847723,0.8153680433034619
1335657,day3,69.4,25.2,-0.25982792098465146,0.3003987527960119
1359285,day1,62.6,22.8,-0.15764962114230213,-0.38343738679611955
1359285,day2,61.125,27.75,-0.9118113222825132,1.1349746649165136
1359285,day3,65.0,21.6,1.069460943424819,-0.7515372781203941
1414611,day1,72.8,74.8,-1.0948187070228905,-1.0990924816540615
1414611,day2,77.8,108.6,0.2295587611499588,0.8561351962357951
1414611,day3,80.2,98.0,0.865259945872928,0.2429572854182664
1454035,day1,55.4,37.6,-0.9807576380188203,-1.1546384382292474
1454035,day2,73.2,54.2,1.0181911356531284,0.566948215178432
1454035,day3,63.8,54.4,-0.03743349763430561,0.5876902230508132
1610899,day1,83.2,51.6,0.7875615306482183,-1.1474169971824095
